Chief among these motives was the overwhelming idea of the great whale himself.	jj-in-dt-nns-vbd-dt-jj-nn-in-dt-jj-nn-prp-.	ch-iy-f ah-m-ah-ng dh-iy-z m-ow-t-ih-v-z w-aa-z dh-ah ow-v-er-w-eh-l-m-ih-ng ay-d-iy-ah ah-v dh-ah g-r-ey-t w-ey-l hh-ih-m-s-eh-l-f .	1 0/1 1 1/0 1 0 0/0/1/0 0/1/0 1 0 1 1 0/1 .
It is sometimes the custom when fast to a whale more than commonly powerful and alert, to seek to hamstring him, as it were, by sundering or maiming his gigantic tail-tendon.	prp-vbz-rb-dt-nn-wrb-rb-to-dt-nn-jjr-in-rb-jj-cc-jj-,-to-vb-to-vb-prp-,-in-prp-vbd-,-in-nn-cc-nn-prp$-jj-nn-.	ih-t ih-s s-ah-m-t-ay-m-z dh-ah k-ah-s-t-ah-m w-eh-n f-ae-s-t t-uw ey w-ey-l m-ao-r dh-ae-n k-aa-m-ah-n-l-iy p-aw-er-f-ah-l ae-n-d ah-l-er-t , t-uw s-iy-k t-uw hh-ae-m-s-t-r-ih-ng hh-ih-m , ae-z ih-t w-er , b-ay s-ah-n-d-er-ih-ng ao-r m-ey-m-ih-ng hh-ih-z jh-ay-g-ae-n-t-ih-k t-ey-l-t-ah-n-d-ah-n .	1 1 0/1 0 1/0 1 1 1 1 1 1 1 1/0/0 1/0/0 1 0/1 , 1 1 1 1/0 1 , 1 1 0 , 1 1/0 1 1/0 1 0/1/0 1/0/0 .
A whale wounded (as we afterwards learned) in this part, but not effectually, as it seemed, had broken away from the boat, carrying along with him half of the harpoon line; and in the extraordinary agony of the wound, he was now dashing among the revolving circles like the lone mounted desperado Arnold, at the battle of Saratoga, carrying dismay wherever he went.	dt-nn-vbn-(-in-prp-rb-vbd-)-in-dt-nn-,-cc-rb-rb-,-in-prp-vbd-,-vbd-vbn-rb-in-dt-nn-,-vbg-in-in-prp-nn-in-dt-nn-nn-;-cc-in-dt-jj-nn-in-dt-nn-,-prp-vbd-rb-vbg-in-dt-vbg-nns-in-dt-jj-vbn-nn-nnp-,-in-dt-nn-in-nnp-,-vbg-nn-wrb-prp-vbd-.	ey w-ey-l w-uw-n-d-ah-d ( ae-z w-iy ae-f-t-er-w-er-d-z l-er-n-d ) ih-n dh-ih-s p-aa-r-t , b-ah-t n-aa-t ah-f-eh-k-ch-uw-ah-l-iy , ae-z ih-t s-iy-m-d , hh-ae-d b-r-ow-k-ah-n ah-w-ey f-r-ah-m dh-ah b-ow-t , k-ae-r-iy-ih-ng ah-l-ao-ng w-ih-dh hh-ih-m hh-ao-f ah-v dh-ah hh-aa-r-p-uw-n l-ay-n ; ae-n-d ih-n dh-ah ih-k-s-t-r-ao-r-d-ah-n-eh-r-iy ae-g-ah-n-iy ah-v dh-ah w-aw-n-d , hh-iy w-aa-z n-aw d-ae-sh-ih-ng ah-m-ah-ng dh-ah r-iy-v-aa-l-v-ih-ng s-er-k-ah-l-z l-ay-k dh-ah l-ow-n m-aw-n-t-ah-d d-eh-s-p-er-aa-d-ow-z aa-r-n-ow-l-d , ae-t dh-ah b-ae-t-ah-l ah-v s-eh-r-ah-t-ow-g-ah , k-ae-r-iy-ih-ng d-ih-s-m-ey w-eh-r-eh-v-er hh-iy w-eh-n-t .	1 1 1/0 ( 1 1 1/0/0 1 ) 0 1 1 , 1 1 0/1/0/0 , 1 1 1 , 1 1/0 0/1 1 0 1 , 1/0/0 0/1 1 1 1 1 0 0/1 1 ; 1 0 0 0/1/0/0/0 1/0/0 1 0 1 , 1 1 1 1/0 0/1 0 0/1/0 1/0 1 0 1 1/0 0/0/1/0 1/0 , 1 0 1/0 1 1/0/1/0 , 1/0/0 0/1 0/1/0 1 1 .
But agonizing as was the wound of this whale, and an appalling spectacle enough, any way; yet the peculiar horror with which he seemed to inspire the rest of the herd, was owing to a cause which at first the intervening distance obscured from us.	cc-jj-in-vbd-dt-nn-in-dt-nn-,-cc-dt-jj-nn-rb-,-dt-nn-;-rb-dt-jj-nn-in-wdt-prp-vbd-to-vb-dt-nn-in-dt-nn-,-vbd-jj-to-dt-nn-wdt-in-jj-dt-vbg-nn-vbn-in-prp-.	b-ah-t ae-g-ah-n-ay-z-ih-ng ae-z w-aa-z dh-ah w-aw-n-d ah-v dh-ih-s w-ey-l , ae-n-d ae-n ah-p-ao-l-ih-ng s-p-eh-k-t-ah-k-ah-l ih-n-ah-f , eh-n-iy w-ey ; y-eh-t dh-ah p-ah-k-y-uw-l-y-er hh-ao-r-er w-ih-dh w-ih-ch hh-iy s-iy-m-d t-uw ih-n-s-p-ay-r dh-ah r-eh-s-t ah-v dh-ah hh-er-d , w-aa-z ow-ih-ng t-uw ey k-aa-z w-ih-ch ae-t f-er-s-t dh-ah ih-n-t-er-v-iy-n-ih-ng d-ih-s-t-ah-n-s ah-b-s-k-y-uh-r-d f-r-ah-m ah-s .	1 1/0/0/0 1 1 0 1 1 1 1 , 1 1 0/1/0 1/0/0 0/1 , 1/0 1 ; 1 0 0/1/0 1/0 1 1 1 1 1 0/1 0 1 1 0 1 , 1 1/0 1 1 1 1 1 1 0 0/0/1/0 1/0 0/1 1 1 .
First, the whales forming the margin of our lake began to crowd a little, and tumble against each other, as if lifted by half spent billows from afar; then the lake itself began faintly to heave and swell; the submarine bridal-chambers and nurseries vanished; in more and more contracting orbits the whales in the more central circles began to swim in thickening clusters.	jj-,-dt-nns-vbg-dt-nn-in-prp$-nn-vbd-to-nn-dt-jj-,-cc-nn-in-dt-jj-,-in-in-vbd-in-nn-vbd-nns-in-rb-;-rb-dt-nn-prp-vbd-rb-to-nn-cc-vb-;-dt-nn-nns-cc-nns-vbd-;-in-jjr-cc-jjr-vbg-nns-dt-nns-in-dt-jjr-jj-nns-vbd-to-vb-in-vbg-nns-.	f-er-s-t , dh-ah w-ah-l-z f-ao-r-m-ih-ng dh-ah m-aa-r-jh-ah-n ah-v aw-er l-ey-k b-ih-g-ae-n t-uw k-r-aw-d ey l-ih-t-ah-l , ae-n-d t-ah-m-b-ah-l ah-g-eh-n-s-t iy-ch ah-dh-er , ae-z ih-f l-ih-f-t-ah-d b-ay hh-ao-f s-p-eh-n-t b-ih-l-ow-z f-r-ah-m ah-f-aa-r ; dh-eh-n dh-ah l-ey-k ih-t-s-eh-l-f b-ih-g-ae-n f-ey-n-t-l-iy t-uw hh-iy-v ae-n-d s-w-eh-l ; dh-ah s-ah-b-m-er-iy-n b-r-ah-d-ah-l-ch-ah-m-b-er-z ae-n-d n-er-s-er-iy-z v-ae-n-ih-sh-t ; ih-n m-ao-r ae-n-d m-ao-r k-aa-n-t-r-ae-k-t-ih-ng ao-r-b-ih-t-s dh-ah w-ah-l-z ih-n dh-ah m-ao-r s-eh-n-t-r-ah-l s-er-k-ah-l-z b-ih-g-ae-n t-uw s-w-ih-m ih-n th-ih-k-ah-n-ih-ng k-l-ah-s-t-er-z .	1 , 0 0 1/0 0 1/0 1 1/0 1 0/1 1 1 1 1/0 , 1 1/0 0/1 1 1/0 , 1 1 1/0 1 1 1 1/0 1 0/1 ; 1 0 1 0/1 0/1 1/0 1 1 1 1 ; 0 1/0/0 0/0/0/0 1 1/0 1/0 ; 0 1 1 1 1/0/0 1/1 0 0 0 0 1 1/0 1/0 0/1 1 1 0 1/0/0 1/0 .
A low advancing hum was soon heard; and then like to the tumultuous masses of block-ice when the great river Hudson breaks up in Spring, the entire host of whales came tumbling upon their inner centre, as if to pile themselves up in one common mountain.	dt-jj-vbg-nn-vbd-rb-vbn-;-cc-rb-in-to-dt-jj-nns-in-nn-wrb-dt-jj-nn-nnp-vbz-in-in-vbg-,-dt-jj-nn-in-nns-vbd-vbg-in-prp$-jj-nn-,-in-in-to-nn-prp-in-in-cd-jj-nn-.	ey l-ow ah-d-v-ae-n-s-ih-ng hh-ah-m w-aa-z s-uw-n hh-er-d ; ae-n-d dh-eh-n l-ay-k t-uw dh-ah t-uw-m-ah-l-ch-uw-ah-s m-ae-s-ah-z ah-v b-l-aa-k-ah-s w-eh-n dh-ah g-r-ey-t r-ih-v-er hh-ah-d-s-ah-n b-r-ey-k-s ah-p ih-n s-p-r-ih-ng , dh-ah ih-n-t-ay-er hh-ow-s-t ah-v w-ah-l-z k-ey-m t-ah-m-b-ah-l-ih-ng ah-p-aa-n dh-eh-r ih-n-er s-eh-n-t-er , ae-z ih-f t-uw p-ay-l dh-eh-m-s-eh-l-v-z ah-p ih-n w-ah-n k-aa-m-ah-n m-aw-n-t-ah-n .	1 1 0/1/0 1 1 1 1 ; 1 1 1 1 0 0/1/0/0 1/0 1 1/0 1 0 1 1/0 1/0 1 1 0 1 , 0 0/1/0 1 1 0 1 1/0/0 0/1 1 1/0 1/0 , 1 1 1 1 0/1 1 0 1 1/0 1/0 .
Shove him off, you Queequeg--the whale there!--prick him!--hit him!	vb-prp-in-,-prp-nnp-cd-dt-nn-ex-!-cd-nn-prp-!-cd-vbd-prp-!	sh-ah-v hh-ih-m ao-f , y-uw k-w-iy-k-g -- dh-ah w-ey-l dh-eh-r ! -- p-r-ih-k hh-ih-m ! -- hh-ih-t hh-ih-m !	1 1 1 , 1 1 -- 0 1 1 ! -- 1 1 ! -- 1 1 !
After many similar hair-breadth escapes, we at last swiftly glided into what had just been one of the outer circles, but now crossed by random whales, all violently making for one centre.	in-jj-jj-nn-vbz-,-prp-in-jj-rb-vbd-in-wp-vbd-rb-vbn-cd-in-dt-jj-nns-,-cc-rb-vbd-in-jj-nns-,-dt-rb-vbg-in-cd-nn-.	ae-f-t-er m-eh-n-iy s-ih-m-ah-l-er hh-eh-r-b-r-eh-d-th eh-s-k-ey-p-s , w-iy ae-t l-ae-s-t s-w-ih-f-t-l-iy g-l-ay-d-ih-d ih-n-t-uw w-ah-t hh-ae-d jh-ah-s-t b-ih-n w-ah-n ah-v dh-ah aw-t-er s-er-k-ah-l-z , b-ah-t n-aw k-r-ao-s-t b-ay r-ae-n-d-ah-m w-ah-l-z , ao-l v-ay-ah-l-ah-n-t-l-iy m-ey-k-ih-ng f-ao-r w-ah-n s-eh-n-t-er .	1/0 1/0 1/0/0 1/1 1/1 , 1 1 1 1/0 1/0 0/1 1 1 1 1 1 1 0 1/0 1/0 , 1 1 1 1 1/0 0 , 1 1/0/0/0 1/0 1 1 1/0 .
This lucky salvation was cheaply purchased by the loss of Queequeg's hat, who, while standing in the bows to prick the fugitive whales, had his hat taken clean from his head by the air-eddy made by the sudden tossing of a pair of broad flukes close by.	dt-jj-nn-vbd-rb-vbn-in-dt-nn-in-nnps-nn-,-wp-,-in-vbg-in-dt-nns-to-nn-dt-jj-nns-,-vbd-prp$-nn-vbn-jj-in-prp$-nn-in-dt-nn-vbn-in-dt-jj-vbg-in-dt-nn-in-jj-nns-vbp-in-.	dh-ih-s l-ah-k-iy s-ae-l-v-ey-sh-ah-n w-aa-z ch-iy-p-l-iy p-er-ch-ah-s-t b-ay dh-ah l-ao-s ah-v k-w-iy-k-w-g-z hh-ae-t , hh-uw , w-ay-l s-t-ae-n-d-ih-ng ih-n dh-ah b-aw-z t-uw p-r-ih-k dh-ah f-y-uw-jh-ah-t-ih-v w-ah-l-z , hh-ae-d hh-ih-z hh-ae-t t-ey-k-ah-n k-l-iy-n f-r-ah-m hh-ih-z hh-eh-d b-ay dh-ah eh-r-ah-d-iy m-ey-d b-ay dh-ah s-ah-d-ah-n t-ao-s-ih-ng ah-v ey p-eh-r ah-v b-r-ao-d f-l-uw-k-s k-l-ow-s b-ay .	1 1/0 0/1/0 1 1/0 1/0 1 0 1 1 1 1 , 1 , 1 1/0 0 0 1 1 1 0 1/0/0 0 , 1 1 1 1/0 1 1 1 1 1 0 1/0/0 1 1 0 1/0 1/0 1 1 1 1 1 1 1 1 .
Further pursuit was useless; but the boats still lingered in their wake to pick up what drugged whales might be dropped astern, and likewise to secure one which Flask had killed and waifed.	jj-nn-vbd-jj-;-cc-dt-nns-rb-vbd-in-prp$-nn-to-vb-in-wp-vbn-nns-md-vb-vbd-nn-,-cc-rb-to-vb-cd-wdt-nnp-vbd-vbn-cc-nn-.	f-er-dh-er p-er-s-uw-t w-aa-z y-uw-s-l-ah-s ; b-ah-t dh-ah b-ow-t-s s-t-ih-l l-ih-ng-g-er-d ih-n dh-eh-r w-ey-k t-uw p-ih-k ah-p w-ah-t d-r-ah-g-d w-ah-l-z m-ay-t b-iy d-r-aa-p-t ae-s-t-er-n , ae-n-d l-ay-k-w-ay-z t-uw s-ih-k-y-uh-r w-ah-n w-ih-ch f-l-ae-s-k hh-ae-d k-ih-l-d ae-n-d w-ey-f-t .	1/0 0/1 1 1/0 ; 1 0 1 1 1/0 0 1 1 1 1 1 1 1 0 1 1 1 1/0 , 1 1/0 1 0/1 1 1 1 1 1 1 1 .
The waif is a pennoned pole, two or three of which are carried by every boat; and which, when additional game is at hand, are inserted upright into the floating body of a dead whale, both to mark its place on the sea, and also as token of prior possession, should the boats of any other ship draw near.	dt-nn-vbz-dt-nn-nn-,-cd-cc-cd-in-wdt-vbp-vbd-in-dt-nn-;-cc-wdt-,-wrb-jj-nn-vbz-in-nn-,-vbp-vbn-rb-in-dt-vbg-nn-in-dt-jj-nn-,-nn-to-nn-prp$-nn-in-dt-nn-,-cc-rb-in-jj-in-rb-nn-,-md-dt-nns-in-dt-jj-nn-vb-in-.	dh-ah w-ey-f ih-s ey p-eh-n-ah-n-d p-ow-l , t-uw ao-r th-r-iy ah-v w-ih-ch aa-r k-ae-r-iy-d b-ay eh-v-er-iy b-ow-t ; ae-n-d w-ih-ch , w-eh-n ah-d-ih-sh-ah-n-ah-l g-ey-m ih-s ae-t hh-ae-n-d , aa-r ih-n-s-er-t-ah-d ah-p-r-ay-t ih-n-t-uw dh-ah f-l-ow-t-ih-ng b-aa-d-iy ah-v ey d-eh-d w-ey-l , b-aa-th t-uw m-aa-r-k ih-t-s p-l-ey-s aa-n dh-ah s-iy , ae-n-d ao-l-s-ow ae-z t-ow-k-ah-n ah-v p-r-ay-er p-ah-z-eh-sh-ah-n , sh-uh-d dh-ah b-ow-t-s ah-v eh-n-iy ah-dh-er sh-ih-p d-r-ao n-ih-r .	0 1 1 1 1/0 1 , 1 1 1 1 1 1 1/0 1 1/0/0 1 ; 1 1 , 1 0/1/0/0 1 1 1 1 , 1 0/1/0 0/1 0/1 0 1/0 1/0 1 1 1 1 , 1 1 1 1 1 1 0 1 , 1 1/0 1 1/0 1 1/0 0/1/0 , 1 0 1 1 1/0 1/0 1 1 1 .
The result of this lowering was somewhat illustrative of that sagacious saying in the Fishery,--the more whales the less fish.	dt-nn-in-dt-vbg-vbd-rb-jj-in-in-nns-vbg-in-dt-nnp-,-cd-dt-jjr-nns-dt-jjr-nn-.	dh-ah r-ih-z-ah-l-t ah-v dh-ih-s l-ow-er-ih-ng w-aa-z s-ah-m-w-ah-t ih-l-ah-s-t-r-ah-t-ih-v ah-v dh-ae-t s-ae-g-ey-sh-ah-s s-ey-ih-ng ih-n dh-ah f-ih-sh-er-iy , -- dh-ah m-ao-r w-ah-l-z dh-ah l-eh-s f-ih-sh .	0 0/1 1 1 1/0/0 1 1/1 0/1/0/0 1 1 1/1/0 1/0 0 0 1/0/0 , -- 0 1 0 0 1 1 .
Of all the drugged whales only one was captured.	in-dt-dt-nn-nns-rb-cd-vbd-vbn-.	ah-v ao-l dh-ah d-r-ah-g-d w-ah-l-z ow-n-l-iy w-ah-n w-aa-z k-ae-p-ch-er-d .	1 1 0 1 0 1/0 1 1 1/0 .
The previous chapter gave account of an immense body or herd of Sperm Whales, and there was also then given the probable cause inducing those vast aggregations.	dt-jj-nn-vbd-nn-in-dt-jj-nn-cc-nn-in-nnp-nnps-,-cc-ex-vbd-rb-rb-vbn-dt-jj-nn-vbg-dt-jj-nns-.	dh-ah p-r-iy-v-iy-ah-s ch-ae-p-t-er g-ey-v ah-k-aw-n-t ah-v ae-n ih-m-eh-n-s b-aa-d-iy ao-r hh-er-d ah-v s-p-er-m w-ah-l-z , ae-n-d dh-eh-r w-aa-z ao-l-s-ow dh-eh-n g-ih-v-ah-n dh-ah p-r-aa-b-ah-b-ah-l k-aa-z ih-n-d-uw-s-ih-ng dh-ow-z v-ae-s-t ah-g-r-ah-g-ey-sh-ah-n-z .	0 1/0/0 1/0 1 0/1 1 1 0/1 1/0 1 1 1 1 0 , 1 1 1 1/0 1 1/0 0 1/0/0 1 0/1/0 1 1 0/0/1/0 .
When serenely advancing on one of these journeys, if any strange suspicious sights are seen, my lord whale keeps a wary eye on his interesting family.	wrb-rb-vbg-in-cd-in-dt-nns-,-in-dt-jj-jj-nns-vbp-vbn-,-prp$-nn-nn-vbz-dt-jj-nn-in-prp$-jj-rb-.	w-eh-n s-er-iy-n-ah-l-iy ah-d-v-ae-n-s-ih-ng aa-n w-ah-n ah-v dh-iy-z jh-er-n-iy-z , ih-f eh-n-iy s-t-r-ey-n-jh s-ah-s-p-ih-sh-ah-s s-ay-t-s aa-r s-iy-n , m-ay l-ao-r-d w-ey-l k-iy-p-s ey w-eh-r-iy ay aa-n hh-ih-z ih-n-t-r-ah-s-t-ih-ng f-ae-m-ah-l-iy .	1 0/1/0/0 0/1/0 1 1 1 1 1/0 , 1 1/0 1 0/1/0 1 1 1 , 1 1 1 1 1 1/0 1 1 1 1/0/0 1/0/0 .
As ashore, the ladies often cause the most terrible duels among their rival admirers; just so with the whales, who sometimes come to deadly battle, and all for love.	in-rb-,-dt-nns-rb-nn-dt-jj-jj-nns-in-prp$-jj-nns-;-rb-rb-in-dt-nns-,-wp-rb-vb-to-rb-nn-,-cc-dt-in-nn-.	ae-z ah-sh-ao-r , dh-ah l-ae-d-iy-z ao-f-ah-n k-aa-z dh-ah m-ow-s-t t-eh-r-ah-b-ah-l d-uw-ah-l-z ah-m-ah-ng dh-eh-r r-ay-v-ah-l ae-d-m-ay-r-er-z ; jh-ah-s-t s-ow w-ih-dh dh-ah w-ah-l-z , hh-uw s-ah-m-t-ay-m-z k-ah-m t-uw d-eh-d-l-iy b-ae-t-ah-l , ae-n-d ao-l f-ao-r l-ah-v .	1 0/1 , 0 1/0 1/0 1 0 1 1/0/0 1 0/1 1 1/0 0/1/0 ; 1 1 1 0 0 , 1 0/1 1 1 1/0 1/0 , 1 1 1 1 .
Granting other whales to be in sight, the fishermen will seldom give chase to one of these Grand Turks; for these Grand Turks are too lavish of their strength, and hence their unctuousness is small.	vbg-jj-nns-to-vb-in-nn-,-dt-nns-md-rb-vb-nn-to-cd-in-dt-jj-nnps-;-in-dt-jj-nnps-vbp-rb-jj-in-prp$-nn-,-cc-rb-prp$-nns-vbz-jj-.	g-r-ae-n-t-ih-ng ah-dh-er w-ah-l-z t-uw b-iy ih-n s-ay-t , dh-ah f-ih-sh-er-m-eh-n w-ih-l s-eh-l-d-ah-m g-ih-v ch-ey-s t-uw w-ah-n ah-v dh-iy-z g-r-ae-n-d t-er-k-s ; f-ao-r dh-iy-z g-r-ae-n-d t-er-k-s aa-r t-uw l-ae-v-ih-sh ah-v dh-eh-r s-t-r-eh-ng-k-th , ae-n-d hh-eh-n-s dh-eh-r ah-ng-k-ch-ah-ah-s-n-ah-s ih-s s-m-ao-l .	1/0 1/0 0 1 1 0 1 , 0 1/1/0 1 1/0 1 1 1 1 1 1 1 1 ; 1 1 1 1 1 1 1/0 1 1 1 , 1 1 1 0/0/0 1 1 .
For like certain other omnivorous roving lovers that might be named, my Lord Whale has no taste for the nursery, however much for the bower; and so, being a great traveller, he leaves his anonymous babies all over the world; every baby an exotic.	in-in-jj-jj-nns-vbg-nns-in-md-vb-vbn-,-prp$-nnp-nnp-vbz-dt-nn-in-dt-nn-,-rb-jj-in-dt-nn-;-cc-rb-,-vbg-dt-jj-nn-,-prp-vbz-prp$-jj-nns-dt-in-dt-nn-;-dt-nn-dt-jj-.	f-ao-r l-ay-k s-er-t-ah-n ah-dh-er aa-m-n-ih-v-er-ah-s r-ow-v-ih-ng l-ah-v-er-z dh-ae-t m-ay-t b-iy n-ey-m-d , m-ay l-ao-r-d w-ey-l hh-ae-z n-ow t-ey-s-t f-ao-r dh-ah n-er-s-er-iy , hh-aw-eh-v-er m-ah-ch f-ao-r dh-ah b-aw-er ; ae-n-d s-ow , b-iy-ih-ng ey g-r-ey-t t-r-ae-v-ah-l-er , hh-iy l-iy-v-z hh-ih-z ah-n-aa-n-ah-m-ah-s b-ae-b-iy-z ao-l ow-v-er dh-ah w-er-l-d ; eh-v-er-iy b-ey-b-iy ae-n ih-g-z-aa-t-ih-k .	1 1 1/0 1/0 1/1/0 1/0 1/0 1 1 1 1 , 1 1 1 1 1 1 1 0 1/0/0 , 0/1/0 1 1 0 1/0 ; 1 1 , 1/0 1 1 1/0/0 , 1 1 1 0/1/0/0 1/0 1 1/0 0 1 ; 1/0/0 1/0 1 0/1/0 .
Now, as the harem of whales is called by the fishermen a school, so is the lord and master of that school technically known as the schoolmaster.	rb-,-in-dt-nn-in-nns-vbz-vbn-in-dt-nns-dt-nn-,-rb-vbz-dt-nn-cc-nn-in-in-nn-rb-vbn-in-dt-nn-.	n-aw , ae-z dh-ah hh-eh-r-ah-m ah-v w-ah-l-z ih-s k-ao-l-d b-ay dh-ah f-ih-sh-er-m-eh-n ey s-k-uw-l , s-ow ih-s dh-ah l-ao-r-d ae-n-d m-ae-s-t-er ah-v dh-ae-t s-k-uw-l t-eh-k-n-ih-k-ah-l-iy n-ow-n ae-z dh-ah s-k-uw-l-m-ae-s-t-er .	1 , 1 0 1/0 1 0 1 1 1 0 1/1/0 1 1 , 1 1 0 1 1 1/0 1 1 1 1/0/0/0 1 1 0 1/0/0 .
The same secludedness and isolation to which the schoolmaster whale betakes himself in his advancing years, is true of all aged Sperm Whales.	dt-jj-nns-cc-nn-to-wdt-dt-nn-nn-nns-prp-in-prp$-vbg-nns-,-vbz-jj-in-dt-nn-nnp-nnps-.	dh-ah s-ey-m s-ih-k-l-uw-d-ah-d-n-ah-s ae-n-d ay-s-ah-l-ey-sh-ah-n t-uw w-ih-ch dh-ah s-k-uw-l-m-ae-s-t-er w-ey-l b-eh-t-ey-k-s hh-ih-m-s-eh-l-f ih-n hh-ih-z ah-d-v-ae-n-s-ih-ng y-ih-r-z , ih-s t-r-uw ah-v ao-l ey-jh-d s-p-er-m w-ah-l-z .	0 1 0/1/0/0 1 0/0/1/0 1 1 0 1/0/0 1 1/1 0/1 0 1 0/1/0 1 , 1 1 1 1 1 1 0 .
Almost universally, a lone whale--as a solitary Leviathan is called--proves an ancient one.	rb-rb-,-dt-jj-nn-cd-in-dt-jj-jj-vbz-vbn-cd-vbz-dt-jj-cd-.	ao-l-m-ow-s-t y-uw-n-ah-v-er-s-ah-l-iy , ey l-ow-n w-ey-l -- ae-z ey s-aa-l-ah-t-eh-r-iy l-ah-v-ay-ah-th-ah-n ih-s k-ao-l-d -- p-r-uw-v-z ae-n ey-n-ch-ah-n-t w-ah-n .	1/0 0/0/1/0/0 , 1 1 1 -- 1 1 1/0/0/0 0/1/0/0 1 1 -- 1 1 1/0 1 .
For while those female whales are characteristically timid, the young males, or forty-barrel-bulls, as they call them, are by far the most pugnacious of all Leviathans, and proverbially the most dangerous to encounter; excepting those wondrous grey-headed, grizzled whales, sometimes met, and these will fight you like grim fiends exasperated by a penal gout.	in-in-dt-jj-nns-vbp-rb-jj-,-dt-jj-nns-,-cc-nns-,-in-prp-vbp-prp-,-vbp-in-rb-dt-jj-jj-in-dt-nnps-,-cc-rb-dt-jj-jj-to-nn-;-vbg-dt-jj-nn-,-jj-nns-,-rb-vbd-,-cc-dt-md-vb-prp-in-jj-nns-jj-in-dt-jj-nn-.	f-ao-r w-ay-l dh-ow-z f-iy-m-ey-l w-ah-l-z aa-r k-eh-r-ah-k-t-er-ih-s-t-ih-k-l-iy t-ih-m-ih-d , dh-ah y-ah-ng m-ey-l-z , ao-r f-ao-r-t-ih-b-aa-r-ah-l-b-uh-l-z , ae-z dh-ey k-ao-l dh-eh-m , aa-r b-ay f-aa-r dh-ah m-ow-s-t p-ah-g-n-ae-sh-ih-s ah-v ao-l l-eh-v-iy-ah-th-ah-n-z , ae-n-d p-r-uw-v-er-b-iy-ah-l-iy dh-ah m-ow-s-t d-ey-n-jh-er-ah-s t-uw ih-n-k-aw-n-t-er ; eh-k-s-eh-p-t-ih-ng dh-ow-z w-ah-n-d-r-ah-s g-r-ey-hh-eh-d-ah-d , g-r-ih-z-ah-l-d w-ah-l-z , s-ah-m-t-ay-m-z m-eh-t , ae-n-d dh-iy-z w-ih-l f-ay-t y-uw l-ay-k g-r-ih-m f-iy-n-d-z ih-g-z-ae-s-p-er-ey-t-ih-d b-ay ey p-iy-n-ah-l g-aw-t .	1 1 1 1/0 0 1 0/0/0/1/0/0 1/0 , 0 1 1 , 1 1/1/1/0/1 , 1 1 1 1 , 1 1 1 0 1 0/1/0 1 1 1/0/0 , 1 1/0/0/0 0 1 1/0/0 1 0/1/0 ; 0/1/0 1 1/0 1/1/0 , 1/0 0 , 0/1 1 , 1 1 1 1 1 1 1 1 0/1/0/0/0 1 1 1/0 1 .
The allusion to the waif and waif-poles in the last chapter but one, necessitates some account of the laws and regulations of the whale fishery, of which the waif may be deemed the grand symbol and badge.	dt-nn-to-dt-nn-cc-nns-in-dt-jj-nn-cc-cd-,-vbz-dt-nn-in-dt-nns-cc-nns-in-dt-nn-nn-,-in-wdt-dt-nn-md-vb-vbn-dt-jj-nn-cc-nn-.	dh-ah ah-l-uw-zh-ah-n t-uw dh-ah w-ey-f ae-n-d w-f-p-ow-l-z ih-n dh-ah l-ae-s-t ch-ae-p-t-er b-ah-t w-ah-n , n-ah-s-eh-s-ah-t-ey-t-s s-ah-m ah-k-aw-n-t ah-v dh-ah l-ao-z ae-n-d r-eh-g-y-ah-l-ey-sh-ah-n-z ah-v dh-ah w-ey-l f-ih-sh-er-iy , ah-v w-ih-ch dh-ah w-ey-f m-ey b-iy d-iy-m-d dh-ah g-r-ae-n-d s-ih-m-b-ah-l ae-n-d b-ae-jh .	0 0/1/0 1 0 1 1 1 0 0 1 1/0 1 1 , 0/1/0/0 1 0/1 1 0 1 1 1/0/1/0 1 0 1 1/0/0 , 1 1 0 1 1 1 1 0 1 1/0 1 1 .
