"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
Spot 5 (Système Probatoire d’Observation de la Terre)	France	France/Belgium/Sweden	Spot Image	Commercial	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	824	826	1.39E-04	98.6	101.4	"3,030"		"2,400"	5/4/2002	5 yrs.	Astrium	France/UK/Germany	Guiana Space Center	Ariane 42P	2002-021A	27421	"Earth imaging for cartography, defence, agriculture, identifying cadastral parcels, urban planning, telecommunications, the environment, disaster management and mitigation and renewable resources."		www.satellitedebris.net 12/12	http://www.lib.cas.cz/www/space.40/2002/021A.HTM	http://www.spotimage.fr/html/_167_.php	http://spot5.cnes.fr/gb/index2.htm	http://directory.eoportal.org/pres_SPOT5.html																																																																																																																																																																																																																														
Spot 6 (Système Probatoire d’Observation de la Terre)	France	France/Belgium/Sweden	Spot Image	Commercial	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	696	699	2.12E-04	98.2	98.73	720			9/9/2012	10 yrs.	EADS Astrium	France/UK/Germany	Sriharikota Launch Station	PSLV	2012-047A	38755	Privately financed to complement the Pleiades 1A and 1B imaging spacecraft owned by French government.		SC  - ASCR	http://www.spaceflightnow.com/news/n1209/09pslv/	http://space50.kosmo.cz/s40/2012/1047A.HTM																																																																																																																																																																																																																																
Spot 7 (Système Probatoire d’Observation de la Terre)	NR (1/15)	France/Belgium/Sweden	Spot Image	Commercial	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	643	660	1.21E-03	98.2	97.77	714			6/30/2014	10 yrs.	Airbus Defense and Space	France/UK/Germany	Sriharikota Launch Station	PSLV-CA	2014-034A	40053			ZARYA	http://www.astrium-geo.com/en/147-spot-6-7-satellite-imagery	https://directory.eoportal.org/web/eoportal/satellite-missions/s/spot-6-7																																																																																																																																																																																																																																
SPROUT  (SPace Research On Unique Technology)	Japan	Japan	Nihon University	Civil	Technology Development		LEO	Sun-Synchronous	0	614	629	1.07E-03	97.87	97.13	7			5/24/2014		Nihon University	Japan	Tanegashima Space Center	H-2A	2014-029E	39770			ZARYA	http://sat.aero.cst.nihon-u.ac.jp/sprout-e/1-Mission-e.html	http://amsat-uk.org/2014/05/21/sprout-amateur-radio-slow-scan-tv-satellite/																																																																																																																																																																																																																																
SRMSat (Sri Ramaswamy Memorial Satellite)	India	India	SRM University	Civil	Technology Development		LEO		0	850	868	1.24E-03	20	102.1	11			10/12/2011	1 yr.	SRM University	India	Sriharikota Launch Station	PSLV	2011-058D	37841	To build a nanosatellite with a mass less than 10kg; to be launched by PSLV and to estimate the amount for atmospheric greenhouse gases; to provide hands on experience to the student and the faculty of SRM University in building small satellite; to develop a nanosatellite bus.		www.satellitedebris.net 12/12	http://srmsat.in/	http://www.uk.amsat.org/2184	http://www.lib.cas.cz/space.40/2011/058D.HTM	http://www.amsat.org/amsat-new/index.php																																																																																																																																																																																																																														
SSOT (Sistema Satelital para la Observación de la Tierra)	Chile	Chile	Chilean Air Force	Government/Military	Earth Observation	Optical Imaging	LEO		0	622	624	1.43E-04	98	97.2	117			12/17/2011		Astrium	France	Guiana Space Center	Soyuz 2/Fregat	2011-076E	38011	"Extremely high-quality satellite images with applications such as mapping, agriculture, town planning, and natural resource, risk and disaster management."		www.satellitedebris.net 12/12	http://www.arianespace.com/news-mission-update/2011/vs02-success.asp			http://www.astrium.eads.net/en/programme/ssto-high-resolution-earth-observation-for-chile.html																																																																																																																																																																																																																														
ST-2 (Singapore-Taiwan 2)	NR	Singapore/Taiwan	Singapore Telecommunications Ltd. (SingTel)/Chunghwa Telecom Co. Ltd.	Commercial	Communications		GEO		87.99	"35,783"	"35,791"	9.49E-05	0.02	1436.12	"5,090"			5/20/2011	15 yrs.	Mitsubishi Electric Corporation	Japan	Guiana Space Center	Ariane 5	2011-022B	37606	"Will replace ST1. Six antennas, 41 Ku-band tarnsponders and 10 C-band transponders."		JM/9_11	http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20110519000123&cid=1204&MainCatID=12	http://www.lib.cas.cz/space.40/2011/022B.HTM	http://www.planet4589.org/space/log/geo.log	http://nssdc.gsfc.nasa.gov/spacewarn/spx691.html																																																																																																																																																																																																																														
Star One C1	Brazil	Brazil	Star One (SES [Société Européenne des Satellites (SES)])	Commercial	Communications		GEO		-64.98	"35,703"	"35,778"	8.91E-04	0.03	1436	"4,100"	"1,750"	"10,500"	11/14/2007	15 yrs.	Thales Alenia Space	France	Guiana Space Center	Ariane 5	2007-056A	32293	"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries."		JM/12_08	http://www.lib.cas.cz/space.40/2007/056A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx649.html	http://www.arianespace.com/site/news/kit/Skynet5B_StarOneC1_GB.pdf																																																																																																																																																																																																																															
Star One C2	Brazil	Brazil	Star One (SES [Société Européenne des Satellites (SES)])	Commercial	Communications		GEO		-69.93	"35,776"	"35,796"	2.37E-04	0.06	1436.1	"4,100"	"1,750"		4/18/2008		Thales Alenia Space	France	Guiana Space Center	Ariane 5 ECA	2008-018B	32768	"Has one X-band transponder for military use. 28 C-band and 16 Ku-band transponders, services to Brazil and neighboring countries."		JM/12_08	http://www.lib.cas.cz/space.40/2008/I017A.HTM	http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html																																																																																																																																																																																																																																
Star One C3	Brazil	Brazil	Star One (SES [Société Européenne des Satellites (SES)])	Commercial	Communications		GEO		-75	"35,791"	"35,848"	6.76E-04	0.02	1437.78	"3,225"	"1,402"		11/10/2012	15 yrs.	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	2012-062A	38991	"28 C-band, 16 Ku-band, entire South American region."		SC - ASCR 	http://www.space-travel.com/reports/Ariane_5_orbits_Eutelsat_21B_and_Star_One_C3_satellites_999.html	http://space50.kosmo.cz/s40/2012/I062A.HTM																																																																																																																																																																																																																																
Star One C4	NR (8/15)	Brazil	Star One (SES [Société Européenne des Satellites (SES)])	Commercial	Communications		GEO		-70	"35,786"	"35,801"	1.78E-04	0	1436.1	"5,634"		"15,600"	7/15/2015	15 yrs.	Space Systems/Loral	USA	Guiana Space Center	Ariane 5 ECA	2015-034B	40733	48 transponders.		JM/8_15	http://www.starone.com.br/en/internas/satelite_c4/																																																																																																																																																																																																																																	
STARE-B (Horus [Space-Based Telescopes for Actionable Refinement of Ephemeris])	USA	USA	National Reconaissance Office	Military	Space Science		LEO		0	500	506	4.36E-04	40.5	94.6	3			11/19/2013		Lawrence Livermore National Laboratory	USA	Wallops Island Flight Facility	Minotaur 1	2013-064T	39397	Optical sensors to detect orbiting payloads and debris for orbit measurement.																																																																																																																																																																																																																																				
STPSat-2 (USA 217)	USA	USA	USAF Space Test Program	Military	Technology Development		LEO	Sun-Synchronous	0	650	650	0.00E+00	72	97.73	180			11/20/2010	1 yr.	Ball Aerospace	USA	Kodiak Launch Complex	Minotaur 4	2010-062A	37222	Two top-priority investigations from the miltary's Space Experiment Review Board.		SC - ASCR	nssdc.gsfc.nasa.gov/spacewarn/spx685.html	http://www.space-travel.com/reports/Ball_Aerospace_STPSat_2_Satellite_Launches_Aboard_STP_S26_Mission_999.html																																																																																																																																																																																																																																
STPSat-3 (Space Test Program Satellite-3) 	USA	USA	US Air Force	Military	Technology Development		LEO		0	497	507	7.28E-04	40.51	94.66	137			11/19/2013	3 yrs.	Ball Aerospace	USA	Wallops Island Flight Facility	Minotaur 1	2013-064A	39380	"Carries 5 packages for Air Force, Army, Navy NASA/NOAA."		SC - ASCR	http://www.onlineamd.com/ball-aerospace-satellite-usaf-transfer-011414.aspx	http://space50.kosmo.cz/s40/2013/I064A.HTM	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																															
"STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator 1)"	United Kingdom	United Kingdom	Surrey Satellite Technology Limited (SSTL)	Commercial	Technology Development		LEO	Sun-Synchronous	0	772	783	7.69E-04	98.6	100.4	4			2/25/2013		Surrey Satellite Technology Limited (SSTL)	UK	Sriharikota Launch Station	PSLV	2013-009E	39090	"Will demonstrate the feasibility of using cheap smartphone electronics to control a spacecraft. Shut down in March after launch, but started up again in July, 2013."		ZARYA	http://www.sstl.co.uk/Missions/STRaND-1--Launched-2013/STRaND-1/STRaND-1--Smartphone-nanosatellite	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																
Strela 3 (Cosmos 2384)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,417"	"1,431"	8.98E-04	82.5	114.3	225			12/27/2001	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Tsyklon 3	2001-058A	27055	Satellites have a single simultaneous earth-space and space-earth channel.		www.satellitedebris.net 12/12	www.astronautix.com/craft/strela3.htm	http://www.lib.cas.cz/space.40/2001/058A.HTM																																																																																																																																																																																																																																
Strela 3 (Cosmos 2385)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,417"	"1,425"	5.13E-04	82.5	114.2	225			12/27/2001	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Tsyklon 3	2001-058B	27056	Satellites have a single simultaneous earth-space and space-earth channel.		www.satellitedebris.net 12/12	www.astronautix.com/craft/strela3.htm	http://www.russianspaceweb.com/spacecraft_military.html		http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
Strela 3 (Cosmos 2386)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,415"	"1,419"	2.57E-04	82.5	114.2	225			12/27/2001	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Tsyklon 3	2001-058C	27057	Satellites have a single simultaneous earth-space and space-earth channel.		www.satellitedebris.net 12/12	www.astronautix.com/craft/strela3.htm	http://www.russianspaceweb.com/spacecraft_military.html		http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
Strela 3 (Cosmos 2390)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,468"	"1,506"	2.42E-03	8.5	115.7	225			7/8/2002	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Kosmos 3M	2002-036A	27464	Store-dump communications for Russian government and military.		www.satellitedebris.net 12/12		http://nssdc.gsfc.nasa.gov/spacewarn/spx585.html		http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
Strela 3 (Cosmos 2391)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,466"	"1,506"	2.55E-03	82.5	115.7	225			7/8/2002	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Kosmos 3M	2002-036B	27465	Store-dump communications for Russian government and military.		www.satellitedebris.net 12/12		http://nssdc.gsfc.nasa.gov/spacewarn/spx585.html		http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
Strela 3 (Cosmos 2400)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,467"	"1,503"	2.29E-03	82.5	115.7	225			8/19/2003	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Kosmos 3M	2003-037A	27868	Store-dump communications for Russian government and military.		www.satellitedebris.net 12/12		http://nssdc.gsfc.nasa.gov/spacewarn/spx598.html		http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
Strela 3 (Cosmos 2401)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,465"	"1,502"	2.36E-03	82.5	115.6	225			8/19/2003	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Kosmos 3M	2003-037B	27869	Store-dump communications for Russian government and military.		www.satellitedebris.net 12/12		http://nssdc.gsfc.nasa.gov/spacewarn/spx598.html		http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
Strela 3 (Cosmos 2408)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,471"	"1,495"	1.53E-03	82.5	115.5	225			9/23/2004	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Kosmos 3M	2004-037A	28419	Store-dump communications for Russian government and military.		www.satellitedebris.net 12/12	http://www.spacenewsfeed.co.uk/2004/26September2004_27.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx611.html	http://russianforces.org/eng/news/archive/000093.shtml	http://www.lib.cas.cz/knav/space.40/2004/037A.HTM																																																																																																																																																																																																																														
Strela 3 (Cosmos 2409)	Russia	Russia	Ministry of Defense	Military	Communications		LEO	Intermediate	0	"1,474"	"1,495"	1.34E-03	82.5	115.6	225			9/23/2004	3 yrs.	NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP)	Russia	Plesetsk Cosmodrome	Kosmos 3M	2004-037B	28420	Store-dump communications for Russian government and military.		www.satellitedebris.net 12/12	http://www.spacenewsfeed.co.uk/2004/26September2004_27.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx611.html	http://russianforces.org/eng/news/archive/000093.shtml	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
STSat-2C	South Korea	South Korea	Korea Aerospace Research Institute (KARI)	Government	Technology Development		LEO		0	298	"1,482"	8.15E-02	80.28	102.77	93		160	1/30/2013	2 yrs.	Korea Advanced Institute of Science and Technology (KAIST)	South Korea	Naro Space Center	Naro-1	2013-003A	39068	Demonstration satellite for solar observation.		SC - ASCR	http://www.nasaspaceflight.com/2013/01/south-korea-stsat-2c-via-kslv-1/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://space50.kosmo.cz/s40/2013/INDEX1.HTM																																																																																																																																																																																																																															
STSat-3	South Korea	South Korea	Korea Aerospace Research Institute (KARI)	Government	Technology Development		LEO		0	593	626	2.36E-03	97.81	96.88	150		275	11/21/2013	2 yrs.	Korea Advanced Institute of Science and Technology (KAIST)	South Korea	Dombarovsky Air Base	Dnepr	2013-066G	39422	Science satellite carrying two sensors -- MIRIS and COMIS.		SC - ASCR	https://directory.eoportal.org/web/eoportal/satellite-missions/s/stsat-3	http://space50.kosmo.cz/s40/2013/I066G.HTM																																																																																																																																																																																																																																
"STSS ATRR (Space Tracking and Surveillance System Advanced Technology Risk Reduction Satellite, USA 205)"	USA	USA	Missile Defense Agency (MDA)	Military	Technology Development		LEO	Sun-Synchronous	0	867	879	8.28E-04	98.93	102.41				5/5/2009		Northrop Grumman	USA	Vandenberg AFB	Delta 2	2009-023A	34903	Detect and track missile flights.		SC - ASCR	http://www.lib.cas.cz/space.40/2009/023A.HTM	http://www.satprnews.com/2009/05/11/satellite-launched-by-missile-defense-agency/																																																																																																																																																																																																																																
STSS Demo-1 (Space Tracking and Surveillance System Demonstrator)	USA	USA	Missile Defense Agency (MDA)	Military	Technology Development		LEO		0	"1,347"	"1,352"	3.24E-04	58	112.68	"2,240"	"1,100"		9/25/2009	2-4 yrs.	Northrop Grumman	USA	Cape Canaveral	Delta 2	2009-052A	35937	Use sensors on the two spacecraft to track ballistic missiles.		SC - ASCR	http://spaceflightnow.com/delta/d344/090919stss.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/052A.HTM																																																																																																																																																																																																																																
STSS Demo-2 (Space Tracking and Surveillance System Demonstrator)	USA	USA	Missile Defense Agency (MDA)	Military	Technology Development		LEO		0	"1,339"	"1,351"	7.78E-04	58	112.58	"2,240"	"1,100"		9/25/2009	2-4 yrs.	Northrop Grumman	USA	Cape Canaveral	Delta 2	2009-052B	35938			SC - ASCR	http://spaceflightnow.com/delta/d344/090919stss.html	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/052B.HTM																																																																																																																																																																																																																																
STUDSat (Student Satellite)	India	India	TeamStudSat - Nitte Meenakshi Institute of Technology (ground station)	Civil	Technology Development		LEO	Sun-Synchronous	0	614	634	1.43E-03	98	97.2	1			7/12/2010	.5 yrs.	Indian Space Research Organization (ISRO)/seven academic institutions	India	Sriharikota Launch Station		2010-035B	36796	"Perform remote sensing, and capture images of the surface of the earth using it's camera of resolution 90 m; the best resolution hitherto achieved by any pico satellite in the world."		www.satellitedebris.net 12/12	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035B.HTM	http://www.teamstudsat.com/																																																																																																																																																																																																																																
Superbird 7 (Superbird C2)	Japan	Japan	Sky Perfect JSAT Corporation	Commercial	Communications		GEO		143.77	"35,778"	"35,794"	1.90E-04	0.12	1436.1	"5,000"			8/14/2008	15 yrs.	Mitsubishi Electric Corporation	Japan	Guiana Space Center	Ariane 5 ECA	2008-038A	33274	"28 Ku-band transponders to provide internet and television services to Japan, East Asia, and the Pacific region."		JM/12_08	http://global.mitsubishielectric.com/bu/space/satellite/communication/superbird_c2_7.html	http://www.lib.cas.cz/space.40/2008/038A.HTM																																																																																																																																																																																																																																
Superbird-B2 (Superbird 4)	Japan	Japan	Sky Perfect JSAT Corporation	Commercial	Communications		GEO		162.03	"35,779"	"35,793"	1.66E-04	0.01	1436.09	"4,051"	"2,160"	"5,400 (EOL)"	2/18/2000	10 yrs.	Boeing Satellite Systems	USA	Guiana Space Center	Ariane 44L	2000-012A	26095	"23 Ku-band, 6 Ka-band; Japan, Okinawa; business communications."		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx556.html	http://www.superbird.co.jp/english/superbird/top.html																																																																																																																																																																																																																															
Superbird-C 	Japan	Japan	Sky Perfect JSAT Corporation	Commercial	Communications		GEO		143.97	"35,781"	"35,792"	1.30E-04	0.01	1436.12	"3,130"	"2,500"	"4,600 (EOL)"	7/28/1997	10 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Atlas 2AS	1997-036A	24880	14 Ku-band; Asia-Pacific region; voice and video communications.		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.superbird.co.jp/english/superbird/top.html																																																																																																																																																																																																																															
Suzaku (Astro E2)	Japan	Japan/USA	Japan Aerospace Exploration Agency (JAXA)/NASA	Government	Space Science		LEO	Intermediate	0	548	558	7.22E-04	31.4	95.7	"1,600"		500	7/10/2005	5 yrs.	Japan Aerospace Exploration Agency (JAXA)	Japan	Uchinoura Space Center	M5	2005-025A	28773	Orbiting observatory for study of high-energy processes; X-ray spectrometer (XRS) instrument failed one month into mission.		www.satellitedebris.net 12/12	http://nssdc.gsfc.nasa.gov/spacewarn/spx621.html	http://www.spacetoday.net/Summary/3036	http://www.nasa.gov/mission_pages/astro-e2/main/index.html	http://www.isas.jaxa.jp/e/enterp/missions/astro-e2/techno.shtml	http://www.lib.cas.cz/www/space.40/2005/025A.HTM																																																																																																																																																																																																																													
SWARM-A	ESA	ESA	European Space Agency (ESA)	Government	Earth Observation	Earth Science	LEO	Polar	0	473	476	2.19E-04	87.3	93.9	468	369	608	11/22/2013	4 yrs.	Astrium	France	Plesetsk Cosmodrome	Rokot	2013-067B	39452	"Survey the Earth's geomagnetic field, and measure changes over time, in order to improve understanding the Earth's interior and the physics of the magnetosphere."		ZARYA	http://news.yahoo.com/european-satellites-launched-eye-earths-magnetic-field-155613703--sector.html																																																																																																																																																																																																																																	
SWARM-B	ESA	ESA	European Space Agency (ESA)	Government	Earth Observation	Earth Science	LEO	Polar	0	473	476	2.19E-04	87.3	93.9	468	369	608	11/22/2013	4 yrs.	Astrium	France	Plesetsk Cosmodrome	Rokot	2013-067A	39451	"Survey the Earth's geomagnetic field, and measure changes over time, in order to improve understanding the Earth's interior and the physics of the magnetosphere."		ZARYA	http://news.yahoo.com/european-satellites-launched-eye-earths-magnetic-field-155613703--sector.html																																																																																																																																																																																																																																	
SWARM-C	ESA	ESA	European Space Agency (ESA)	Government	Earth Observation	Earth Science	LEO	Polar	0	486	496	7.29E-04	87.5	94	468	369	608	11/22/2013	4 yrs.	Astrium	France	Plesetsk Cosmodrome	Rokot	2013-067C	39453	"Survey the Earth's geomagnetic field, and measure changes over time, in order to improve understanding the Earth's interior and the physics of the magnetosphere."		ZARYA	http://news.yahoo.com/european-satellites-launched-eye-earths-magnetic-field-155613703--sector.html																																																																																																																																																																																																																																	
Swift 	USA	USA/United Kingdom/Italy	Goddard Space Flight Center/Penn State University	Government/Civil	Space Science		LEO	Intermediate	0	571	590	1.37E-03	20.6	96.3	"1,463"		"1,040"	11/20/2004	7 yrs.	Spectrum Astro (General Dynamics)	USA	Cape Canaveral	Delta 7320	2004-047A	28485	Multi-wavelength observatory for study of gamma-ray burst (GRB) science; mission life 2 yrs.		www.satellitedebris.net 12/12	http://www.spacenewsfeed.co.uk/2004/21November2004_30.html	http://swift.gsfc.nasa.gov/docs/swift/swiftsc.html	http://www.planet4589.org/space/jsr/jsr.html	http://www.lib.cas.cz/www/space.40/2004/047A.HTM																																																																																																																																																																																																																														
SwissCube	NR	Switzerland	Ecole Polytechnique Fédérale de Lausanne (EPFL)	Civil	Technology Development		LEO	Sun-Synchronous	0	710	720	7.06E-04	98.3	99.1	1			9/23/2009	.25-1 yr.	Ecole Polytechnique Fédérale de Lausanne (EPFL)	Switzerland	Sriharikota Launch Station	PSLV	2009-051B	35932	Overall SwissCube project development is primarily to educate students in space technologies and space system engineering. Official mission completed; satellite turned over to amateur community.		www.satellitedebris.net 12/12	http://swisscube.epfl.ch/	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2009/051E.HTM	http://www.amsat.org/amsat-new/satellites/status.php	https://directory.eoportal.org/web/eoportal/satellite-missions/s/swisscube																																																																																																																																																																																																																														
Syracuse 3A (Systeme de Radio Communications Utilisant un Satellite)	France	France	Defense Ministry	Military	Communications		GEO		47.05	"35,778"	"35,792"	1.66E-04	0	1436.06	"3,725"	"1,650"	"5,640"	10/13/2005	12 yrs.	Alcatel Alenia Space	France/Italy	Guiana Space Center	Ariane 5	2005-041B	28885	Military communications; designed to integrate with UK's Skynet and Italy's Sicral.		JM/12_08	http://www.alcatel.com/lead/syracuse3A_launch.htm	http://www.spacedaily.com/news/launchers-05zzzn.html	http://www.satnews.com/stories2005/1501.htm	http://www.france-science.org/home/page.asp?target=nfo-let&PUBLID=9&LIVRID=8438&LNG=us#21086	http://www.arianespace.com/site/news/kit/Vol_168_GB.pdf	http://www.lib.cas.cz/www/space.40/2005/041B.HTM																																																																																																																																																																																																																												
Syracuse 3B (Systeme de Radio Communications Utilisant un Satellite)	France	France	Defense Ministry	Military	Communications		GEO		-5.17	"35,772"	"35,801"	3.44E-04	0.03	1436.09	"3,750"	"1,658"		8/11/2006	12 yrs.	Alcatel Alenia Space	France/Italy	Guiana Space Center	Ariane 5	2006-033B	29273	Completes Syracuse III system; voice communication and secure data transmission; can be integrated with NATO and German military satellites.		JM/12_08	http://www.home.alcatel.com/vpr/vpr.nsf/DateKey/07072006uk	http://www.lib.cas.cz/www/space.40/2006/033B.HTM																																																																																																																																																																																																																																
TacSat 4	USA	USA	Naval Research Laboratory	Military	Technology Development		Elliptical		0	658	"11,836"	4.43E-01	63.64	235.16	450		"1,000"	9/27/2011		Naval Research Laboratory/Johns Hopkins University Applied Physics Laboratory	USA	Kodiak Launch Complex	Minotaur 4	2011-052A	37818	10 Ultra High Frequency (UHF) channels; allows forward deployed troops to communicate using existing hand-held radios without the need to stop and point an antenna towards the satellite			http://www.nrl.navy.mil/media/news-releases/2011/nrl-tacsat4-launches-to-augment-communications-needs	http://www.onr.navy.mil/Media-Center/Fact-Sheets/TacSat-Tactical-Microsatellite.aspx	http://www.lib.cas.cz/space.40//2011/052A.HTM																																																																																																																																																																																																																															
TacSat 6	NR	USA	Operational Responsive Space (ORS) Office	Military	Technology Development		LEO		0	443	886	3.15E-02	120.3	98						Air Force Research Laboratory (AFRL)	USA	Vandenberg AFB	Atlas 5	2013-072M	39473			ZARYA estimated	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																
TanDEM-X (TerraSAR-X add-on for Digital Elevation Measurement)	Germany	Germany	German Aerospace Center (DLR)/Astrium	Government	Earth Observation	Radar Imaging	LEO	Sun-Synchronous	0	507	510	2.18E-04	97.4	94.8	"1,350"			6/21/2010	5 yrs.	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Dnepr	2010-030A	36605	Will survey all 150 million square kilometers of earth surface. Works with TerraSAR-X for first three years.		www.satellitedebris.net 12/12	http://www.lib.cas.cz/space.40/2010/030A.HTM	http://www.nasaspaceflight.com/2010/06/live-germanys-tandem-x-launch-via-dnepr/																																																																																																																																																																																																																																
"Tango (part of Cluster quartet, Cluster 2 FM8)"	ESA	ESA	European Space Agency (and 250 international scientific investigators)	Government	Space Science		Elliptical	Deep Highly Eccentric	0	"17,313"	"120,961"	6.86E-01	90.7	"3,442.00"	"1,200"	478	220	8/9/2000	4 yrs.	Dornier Systems (Astrium) and 35 subcontractors	International	Baikonur Cosmodrome	Soyuz	2000-045B	26464	"Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions."		JMSatcat304	http://perso.wanadoo.fr/eurospace/espdatabase/	http://nssdc.gsfc.nasa.gov/spacewarn/spx562.html	http://www.esa.int/esaSC/SEMYN5T1VED_index_0.html																																																																																																																																																																																																																															
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)"	USA	USA	National Aeronautics and Space Administration (NASA)	Government	Communications		GEO		-40.75	"35,768"	"35,802"	4.03E-04	1.64	1436.04	"3,180"	"1,600"	"2,300 (EOL)"	12/4/2002	11 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Atlas 2A	2002-055A	27566	"Tracking and communications with space shuttle, other missions."		JM/12_08		http://www.boeing.com/defense-space/space/bss/factsheets/601/tdrs_hij/tdrs_hij.html	http://www.spaceflightnow.com/atlas/ac144/021201tdrss.html	http://nmsp.gsfc.nasa.gov/tdrss/tconst.html																																																																																																																																																																																																																														
"TDRS-11 (Tracking and Data Relay Satellite, TDRS K)"	USA	USA	National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center	Government	Communications		GEO		-171	"35,732"	"35,844"	1.33E-03	7	1436.18	"3,454"	"1,600"	"2,300 (EOL)"	1/31/2013	15 yrs.	Boeing Satellite Systems	USA	Cape Canaveral	Atlas 5	2013-004A	39070	New generation of tracking and commmunication satellites.		SC - ASCR	http://www.space.com/19559-nasa-launches-relay-satellite-tdrs-k.html	http://www.spaceflight101.com/tdrs-k-launch-upates.html	http://space50.kosmo.cz/s40/2013/INDEX1.HTM																																																																																																																																																																																																																															
